purchase_id,timestamp,item_id,quantity,unit_cost,total_cost
12,2023-02-02 23:59:59,headphones,100,9.22,922.00
13,2023-02-03 23:59:59,headphones,100,9.72,972.00
14,2023-02-04 23:59:59,headphones,100,9.42,942.00
15,2023-02-05 23:59:59,headphones,100,8.76,876.00
16,2023-02-06 23:59:59,headphones,100,8.63,863.00
17,2023-02-07 23:59:59,headphones,100,8.69,869.00
18,2023-02-08 23:59:59,headphones,100,8.22,822.00
19,2023-02-09 23:59:59,headphones,100,9.79,979.00
20,2023-02-20 23:59:59,winter-gloves,110,6.22,684.20
21,2023-02-21 23:59:59,winter-gloves,110,6.05,665.50
22,2023-02-22 23:59:59,winter-gloves,110,5.58,613.80
23,2023-02-23 23:59:59,winter-gloves,110,5.82,640.20
24,2023-02-24 23:59:59,winter-gloves,110,5.59,614.90
25,2023-02-25 23:59:59,winter-gloves,110,6.30,693.00
26,2023-02-25 23:59:59,doll-classic,120,7.67,920.40
27,2023-02-26 23:59:59,winter-gloves,110,5.85,643.50
28,2023-02-26 23:59:59,doll-classic,120,7.41,889.20
29,2023-02-27 23:59:59,winter-gloves,110,6.35,698.50
30,2023-02-27 23:59:59,doll-classic,120,7.03,843.60
31,2023-02-28 23:59:59,winter-gloves,110,5.87,645.70
32,2023-02-28 23:59:59,doll-classic,120,6.50,780.00
